system,information,future_hour,mse,rmse,mae_same_mean,mae_median_separate,gamma_to_I4
L_r1,I0,12,0.22222222222222368,0.47140452079103323,0.4444444444444473,0.33333333333333837,5.959863916391566e-31
L_r1,I1,1,0.2132069102747281,0.4617433380945827,0.42641382054945615,0.3333333333333332,3.234887630631682e-32
L_r1,I1,2,0.2218564808994244,0.47101643378912417,0.44371296179884867,0.33333333333333437,3.5318157659295096e-32
L_r1,I1,3,0.2222073844976952,0.4713887827448752,0.44441476899539034,0.333333333333334,6.902954600319574e-32
L_r1,I1,4,0.22222162027200407,0.4714038823259775,0.444443240544008,0.33333333333333504,4.600971029870684e-32
L_r1,I1,5,0.222222197801762,0.4714044948892214,0.44444439560352406,0.3333333333333345,4.982378318834857e-32
L_r1,I1,6,0.22222222123151109,0.47140451974022385,0.4444444424630223,0.33333333333333515,3.6273317744916363e-32
L_r1,I1,7,0.22222222218203092,0.4714045207484024,0.4444444443640618,0.3333333333333357,3.584812988907685e-32
L_r1,I1,8,0.22222222222059249,0.47140452078930306,0.44444444444118486,0.33333333333333653,3.676667040273239e-32
L_r1,I1,9,0.22222222222215687,0.47140452079096234,0.4444444444443137,0.33333333333333687,6.800397408453759e-32
L_r1,I1,10,0.22222222222222066,0.47140452079103,0.4444444444444412,0.33333333333333653,3.551793362271859e-32
L_r1,I1,11,0.22222222222222335,0.4714045207910329,0.44444444444444675,0.33333333333333726,1.0377531008944978e-31
L_r1,I1,12,0.22222222222222368,0.47140452079103323,0.44444444444444736,0.33333333333333837,4.07424932654681e-32
L_r1,I2,1,0.21320691027472807,0.4617433380945827,0.426413820549456,0.3333333333333332,1.2666095550486506e-31
L_r1,I2,2,0.2218564808994244,0.47101643378912417,0.44371296179884867,0.33333333333333437,3.4889203012113063e-32
L_r1,I2,3,0.2222073844976952,0.4713887827448752,0.44441476899539045,0.333333333333334,9.359764815062371e-32
L_r1,I2,4,0.22222162027200407,0.4714038823259775,0.4444432405440079,0.33333333333333504,6.865008021330074e-32
L_r1,I2,5,0.22222219780176197,0.4714044948892214,0.44444439560352395,0.3333333333333345,6.256807915785198e-32
L_r1,I2,6,0.22222222123151109,0.47140451974022385,0.44444444246302217,0.33333333333333515,1.0382850094718402e-31
L_r1,I2,7,0.22222222218203092,0.4714045207484024,0.4444444443640618,0.3333333333333357,8.007721569174626e-32
L_r1,I2,8,0.22222222222059243,0.471404520789303,0.4444444444411849,0.33333333333333653,1.3683574640276381e-31
L_r1,I2,9,0.22222222222215687,0.47140452079096234,0.44444444444431375,0.33333333333333687,4.9077714055813466e-32
L_r1,I2,10,0.22222222222222066,0.47140452079103,0.44444444444444114,0.33333333333333653,1.237990205728979e-31
L_r1,I2,11,0.22222222222222335,0.4714045207910329,0.44444444444444675,0.33333333333333726,1.009984356682405e-31
L_r1,I2,12,0.22222222222222368,0.47140452079103323,0.4444444444444474,0.33333333333333837,7.003826457426527e-32
L_r1,I3,1,0.2132069102747281,0.4617433380945827,0.42641382054945615,0.3333333333333332,1.56729083022056e-32
L_r1,I3,2,0.22185648089942434,0.4710164337891241,0.44371296179884867,0.33333333333333437,2.3829789247097546e-32
L_r1,I3,3,0.2222073844976952,0.4713887827448752,0.4444147689953904,0.333333333333334,1.79328391814655e-32
L_r1,I3,4,0.22222162027200407,0.4714038823259775,0.44444324054400813,0.33333333333333504,2.6638360841192533e-32
L_r1,I3,5,0.22222219780176203,0.4714044948892215,0.444444395603524,0.3333333333333345,2.59287520643978e-32
L_r1,I3,6,0.22222222123151109,0.47140451974022385,0.4444444424630223,0.33333333333333515,2.8952736839188254e-32
L_r1,I3,7,0.22222222218203092,0.4714045207484024,0.44444444436406183,0.3333333333333357,4.004938664678138e-32
L_r1,I3,8,0.22222222222059243,0.471404520789303,0.4444444444411849,0.33333333333333653,1.5448076467929692e-32
L_r1,I3,9,0.22222222222215687,0.47140452079096234,0.4444444444443137,0.33333333333333687,3.03727896930836e-32
L_r1,I3,10,0.22222222222222066,0.47140452079103,0.4444444444444413,0.33333333333333653,1.9732437653385467e-32
L_r1,I3,11,0.22222222222222335,0.4714045207910329,0.44444444444444675,0.33333333333333726,2.695553161641934e-32
L_r1,I3,12,0.22222222222222368,0.47140452079103323,0.44444444444444736,0.33333333333333837,2.1373174777794345e-32
L_r1,I4,1,0.2132069102747281,0.4617433380945827,0.42641382054945604,0.3333333333333332,0.0
L_r1,I4,2,0.2218564808994244,0.47101643378912417,0.44371296179884867,0.33333333333333437,0.0
L_r1,I4,3,0.2222073844976952,0.4713887827448752,0.4444147689953904,0.333333333333334,0.0
L_r1,I4,4,0.22222162027200407,0.4714038823259775,0.44444324054400813,0.33333333333333504,0.0
L_r1,I4,5,0.22222219780176203,0.4714044948892215,0.444444395603524,0.3333333333333345,0.0
L_r1,I4,6,0.22222222123151109,0.47140451974022385,0.44444444246302217,0.33333333333333515,0.0
L_r1,I4,7,0.22222222218203092,0.4714045207484024,0.44444444436406183,0.3333333333333357,0.0
L_r1,I4,8,0.22222222222059243,0.471404520789303,0.44444444444118486,0.33333333333333653,0.0
L_r1,I4,9,0.22222222222215687,0.47140452079096234,0.44444444444431375,0.33333333333333687,0.0
L_r1,I4,10,0.22222222222222066,0.47140452079103,0.4444444444444413,0.33333333333333653,0.0
L_r1,I4,11,0.22222222222222338,0.4714045207910329,0.4444444444444467,0.33333333333333726,0.0
L_r1,I4,12,0.22222222222222368,0.47140452079103323,0.44444444444444736,0.33333333333333837,0.0
L_r1_4,I0,1,0.11850075333068796,0.34423938375887203,0.23700150666137634,0.1408050839575017,3.964762720815021e-31
L_r1_4,I0,2,0.17381057823164336,0.41690595849860834,0.34762115646328684,0.23700150666137598,2.500191996451171e-32
L_r1_4,I0,3,0.1996262515045167,0.44679553657631443,0.39925250300903353,0.30272180227098144,2.2131762050087616e-31
L_r1_4,I0,4,0.21167562948980503,0.4600821986230341,0.42335125897960985,0.33333333333333487,5.910314692998038e-31
L_r1_4,I0,5,0.21729963581719092,0.46615409020750953,0.43459927163438195,0.3333333333333354,2.089998126878305e-31
L_r1_4,I0,6,0.2199246217051837,0.46896121556604625,0.4398492434103675,0.33333333333333637,6.441853019882271e-31
L_r1_4,I0,7,0.22114982496973346,0.47026569614392827,0.4422996499394668,0.33333333333333637,1.5820641446877296e-31
L_r1_4,I0,8,0.22172168444003723,0.47087332101111573,0.4434433688800745,0.33333333333333715,1.6867635847221073e-30
L_r1_4,I0,9,0.22198859790920544,0.4711566596252306,0.4439771958184107,0.3333333333333376,9.44798965174431e-31
L_r1_4,I0,10,0.22211317886610593,0.47128884865452303,0.44422635773221164,0.33333333333333814,1.8220804621179597e-31
L_r1_4,I0,11,0.22217132660541178,0.47135053474607597,0.44434265321082356,0.33333333333333826,3.5532799443575997e-31
L_r1_4,I0,12,0.22219846686561234,0.4713793237570061,0.44439693373122463,0.3333333333333386,9.872753452373846e-32
L_r1_4,I1,1,0.11850075333068796,0.34423938375887203,0.23700150666137598,0.1408050839575017,2.2601745685053024e-32
L_r1_4,I1,2,0.17381057823164336,0.41690595849860834,0.34762115646328673,0.23700150666137598,1.95374332947389e-32
L_r1_4,I1,3,0.1996262515045167,0.44679553657631443,0.39925250300903325,0.30272180227098144,3.689711888993147e-32
L_r1_4,I1,4,0.21167562948980506,0.4600821986230342,0.4233512589796101,0.33333333333333487,2.3892801139359935e-32
L_r1_4,I1,5,0.21729963581719092,0.46615409020750953,0.4345992716343817,0.3333333333333354,3.731154742945682e-32
L_r1_4,I1,6,0.2199246217051837,0.46896121556604625,0.43984924341036735,0.33333333333333637,1.6737507011676795e-32
L_r1_4,I1,7,0.22114982496973346,0.47026569614392827,0.4422996499394669,0.33333333333333637,2.228533736074514e-32
L_r1_4,I1,8,0.2217216844400372,0.4708733210111157,0.4434433688800745,0.33333333333333715,2.238967809925504e-32
L_r1_4,I1,9,0.22198859790920544,0.4711566596252306,0.4439771958184109,0.3333333333333376,1.9912635123632901e-32
L_r1_4,I1,10,0.22211317886610593,0.47128884865452303,0.4442263577322118,0.33333333333333814,1.3565479686887036e-32
L_r1_4,I1,11,0.22217132660541178,0.47135053474607597,0.4443426532108236,0.33333333333333826,4.985039537388772e-32
L_r1_4,I1,12,0.22219846686561237,0.4713793237570061,0.44439693373122474,0.3333333333333386,3.6536108974854223e-32
L_r1_4,I2,1,0.11850075333068796,0.34423938375887203,0.23700150666137604,0.1408050839575017,1.000394772422269e-31
L_r1_4,I2,2,0.17381057823164336,0.41690595849860834,0.34762115646328695,0.23700150666137598,2.570673433649294e-31
L_r1_4,I2,3,0.1996262515045167,0.44679553657631443,0.3992525030090335,0.30272180227098144,1.425411080249869e-31
L_r1_4,I2,4,0.21167562948980503,0.4600821986230341,0.42335125897961035,0.33333333333333487,1.7550503114314652e-31
L_r1_4,I2,5,0.21729963581719092,0.46615409020750953,0.4345992716343819,0.3333333333333354,1.3870734981788307e-31
L_r1_4,I2,6,0.2199246217051837,0.46896121556604625,0.4398492434103675,0.33333333333333637,2.584788364178005e-31
L_r1_4,I2,7,0.22114982496973346,0.47026569614392827,0.44229964993946685,0.33333333333333637,1.0295167285585756e-31
L_r1_4,I2,8,0.2217216844400372,0.4708733210111157,0.4434433688800745,0.33333333333333715,1.4487797222054436e-31
L_r1_4,I2,9,0.22198859790920544,0.4711566596252306,0.4439771958184109,0.3333333333333376,7.764474997701792e-32
L_r1_4,I2,10,0.22211317886610593,0.47128884865452303,0.444226357732212,0.33333333333333814,1.6338353098334243e-31
L_r1_4,I2,11,0.22217132660541178,0.47135053474607597,0.4443426532108236,0.33333333333333826,1.5947113763774013e-31
L_r1_4,I2,12,0.22219846686561237,0.4713793237570061,0.4443969337312248,0.3333333333333386,1.6957562831351445e-31
L_r1_4,I3,1,0.11850075333068796,0.34423938375887203,0.23700150666137587,0.1408050839575017,2.2211312008054015e-32
L_r1_4,I3,2,0.17381057823164336,0.41690595849860834,0.34762115646328673,0.23700150666137598,2.456556710899472e-32
L_r1_4,I3,3,0.1996262515045167,0.44679553657631443,0.3992525030090334,0.30272180227098144,1.803452242989664e-32
L_r1_4,I3,4,0.21167562948980506,0.4600821986230342,0.4233512589796101,0.33333333333333487,1.2915183284750398e-32
L_r1_4,I3,5,0.21729963581719092,0.46615409020750953,0.43459927163438183,0.3333333333333354,2.3815805934670725e-32
L_r1_4,I3,6,0.2199246217051837,0.46896121556604625,0.4398492434103674,0.33333333333333637,1.1920205638545751e-32
L_r1_4,I3,7,0.22114982496973346,0.47026569614392827,0.4422996499394668,0.33333333333333637,1.7522448384407462e-32
L_r1_4,I3,8,0.2217216844400372,0.4708733210111157,0.44344336888007446,0.33333333333333715,2.3225742274733202e-32
L_r1_4,I3,9,0.22198859790920544,0.4711566596252306,0.4439771958184109,0.3333333333333376,3.53001494262251e-32
L_r1_4,I3,10,0.22211317886610593,0.47128884865452303,0.44422635773221175,0.33333333333333814,1.717299836618215e-32
L_r1_4,I3,11,0.22217132660541178,0.47135053474607597,0.44434265321082356,0.33333333333333826,1.632092067044059e-32
L_r1_4,I3,12,0.22219846686561237,0.4713793237570061,0.44439693373122474,0.3333333333333386,3.086998553725588e-32
L_r1_4,I4,1,0.11850075333068796,0.34423938375887203,0.23700150666137593,0.1408050839575017,0.0
L_r1_4,I4,2,0.17381057823164336,0.41690595849860834,0.34762115646328673,0.23700150666137598,0.0
L_r1_4,I4,3,0.1996262515045167,0.44679553657631443,0.39925250300903337,0.30272180227098144,0.0
L_r1_4,I4,4,0.21167562948980506,0.4600821986230342,0.4233512589796101,0.33333333333333487,0.0
L_r1_4,I4,5,0.21729963581719092,0.46615409020750953,0.43459927163438183,0.3333333333333354,0.0
L_r1_4,I4,6,0.2199246217051837,0.46896121556604625,0.4398492434103674,0.33333333333333637,0.0
L_r1_4,I4,7,0.22114982496973346,0.47026569614392827,0.4422996499394669,0.33333333333333637,0.0
L_r1_4,I4,8,0.2217216844400372,0.4708733210111157,0.4434433688800744,0.33333333333333715,0.0
L_r1_4,I4,9,0.22198859790920544,0.4711566596252306,0.4439771958184109,0.3333333333333376,0.0
L_r1_4,I4,10,0.22211317886610593,0.47128884865452303,0.4442263577322118,0.33333333333333814,0.0
L_r1_4,I4,11,0.22217132660541178,0.47135053474607597,0.44434265321082356,0.33333333333333826,0.0
L_r1_4,I4,12,0.22219846686561234,0.4713793237570061,0.44439693373122474,0.3333333333333386,0.0
