phase,dataset,series,K,scope,mask,origin_start,model_A,model_B,endpoint,Gamma,core_size,size_lower_bound,kind,window_indices
AP0,beijing,Changping,24,fixed_panel,natural,6570,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6570,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6570,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6738,constant,logistic,lower,8.049116928532385e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6738,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6738,constant,hist_gradient_boosting,lower,8.049116928532385e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6738,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6738,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6738,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6906,constant,logistic,lower,6.036837696399289e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6906,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6906,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6906,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6906,logistic,hist_gradient_boosting,lower,1.8110513089197863e-14,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6906,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7074,constant,logistic,lower,4.024558464266193e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7074,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7074,constant,hist_gradient_boosting,lower,7.042977312465837e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7074,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7074,logistic,hist_gradient_boosting,lower,4.024558464266193e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7074,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7242,constant,logistic,lower,4.024558464266193e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,7242,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
