dataset,K,scope,mask,series,origin_start,pair_prepare,pair_solve,joint,pair_total
beijing,24,origin_week,natural,Dingling,14472,1.4699995517730711e-05,3.7999998312443495e-05,0.00029950001044191075,5.269999383017421e-05
beijing,24,origin_week,natural,Dingling,14640,1.4199991710484028e-05,3.7300007534213364e-05,0.0002730000123847276,5.149999924469739e-05
beijing,24,origin_week,natural,Dingling,14808,1.3600001693703234e-05,3.7299992982298136e-05,0.0002742999931797166,5.089999467600137e-05
beijing,24,origin_week,natural,Dingling,14976,1.340000017080456e-05,3.739999374374747e-05,0.00027149998641104375,5.079999391455203e-05
beijing,24,origin_week,natural,Dingling,15144,1.3500000932253895e-05,3.7300007534213364e-05,0.00028979999478899096,5.080000846646726e-05
beijing,24,origin_week,natural,Dingling,15312,1.3700002455152571e-05,3.7299992982298136e-05,0.00027669999690253474,5.099999543745071e-05
beijing,24,origin_week,natural,Dingling,15480,1.3800003216601908e-05,3.709999145939946e-05,0.0002757999900495401,5.089999467600137e-05
beijing,24,origin_week,natural,Dingling,15648,0.0002468000020598,5.679999594576657e-05,0.00031140001374284744,0.0003035999980055666
beijing,24,origin_week,natural,Dingling,15816,1.5199999324977398e-05,3.82000143872574e-05,0.0002826999989337556,5.3400013712234795e-05
beijing,24,origin_week,natural,Dingling,15984,0.0003398999979253,0.004624599983799221,0.000297199992928594,0.004964499981724521
beijing,24,origin_week,natural,Dingling,16152,1.829999382607639e-05,3.859998832922429e-05,0.00031599999056196944,5.689998215530068e-05
beijing,24,origin_week,natural,Dingling,16320,1.5600002370774746e-05,3.819998528342694e-05,0.0002912000200012698,5.3799987654201686e-05
beijing,24,origin_week,natural,Dingling,16488,1.3900003978051244e-05,3.749999450519681e-05,0.00029080000240345983,5.1399998483248055e-05
beijing,24,origin_week,natural,Dingling,16656,1.4800010831095278e-05,3.730002208612859e-05,0.0002796000044326828,5.210003291722387e-05
beijing,24,origin_week,natural,Dingling,16824,1.3600001693703234e-05,3.720000677276403e-05,0.00027389997558202595,5.080000846646726e-05
beijing,24,origin_week,natural,Dingling,16992,1.3299999409355223e-05,3.609998384490609e-05,0.0002666999935172498,4.9399983254261315e-05
beijing,24,origin_week,natural,Dingling,17160,1.3500000932253895e-05,3.6900019040331244e-05,0.00028520000341809203,5.040001997258514e-05
beijing,24,origin_week,natural,Dingling,17328,1.2799995602108538e-05,3.5600009141489863e-05,0.0002637000143295154,4.84000047435984e-05
beijing,24,origin_week,natural,Dingling,17496,1.2999997125007212e-05,3.749999450519681e-05,0.00020330000552348793,5.049999163020402e-05
beijing,24,origin_week,natural,Dongsi,8760,2.229999518021941e-05,4.4199987314641476e-05,0.0005200000014154999,6.649998249486089e-05
beijing,24,origin_week,natural,Dongsi,8928,1.6200006939470768e-05,3.9300008211284876e-05,0.0003003000019816132,5.5500015150755644e-05
beijing,24,origin_week,natural,Dongsi,9096,1.5700003132224083e-05,5.0000002374872565e-05,0.0012663000088648999,6.570000550709665e-05
beijing,24,origin_week,natural,Dongsi,9264,2.099999983329326e-05,4.0099999750964344e-05,0.0003057000139960807,6.10999995842576e-05
beijing,24,origin_week,natural,Dongsi,9432,1.5199999324977398e-05,4.6999994083307683e-05,0.00048129999777293223,6.219999340828508e-05
beijing,24,origin_week,natural,Dongsi,9600,3.3200005418621004e-05,4.199999966658652e-05,0.00035660000867195274,7.520000508520752e-05
beijing,24,origin_week,natural,Dongsi,9768,1.9800005247816443e-05,4.540001100394875e-05,0.0007472000143023,6.520001625176519e-05
