T,K,L,layout,missing_rate,specialized_state_kernel_seconds,generic_dfa_same_kernel_seconds,generic_rd_edge_kernel_seconds,suffix_kernel_seconds,suffix_status,generic_status,generic_bound_error,rolling_extrema_bytes,graph_array_bytes,specialized_construct_seconds,generic_construct_seconds,specialized_cold_graph_warm_kernel_seconds,generic_cold_graph_warm_kernel_seconds
2048,16,3,blocks30,0.275390625,0.0002636999997776,0.0002283999929204,0.0004189000028418,0.0471834000054514,COMPLETE,COMPLETE,0.0,1280,680,6.19000056758523e-05,0.0047934000031091,0.0003256000054534523,0.005021799996029501
2048,16,3,natural_power,0.0,0.0001810999965528,0.0001735000114422,0.000384800005122,0.0476253000088036,COMPLETE,COMPLETE,0.0,1280,680,6.19000056758523e-05,0.0047934000031091,0.0002430000022286523,0.0049669000145513
32768,16,3,iid30,0.298004150390625,0.0046609999990323,0.00585799998953,0.0071468999958597,0.7745682999957353,COMPLETE,COMPLETE,0.0,1280,680,6.19000056758523e-05,0.0047934000031091,0.004722900004708153,0.0106513999926391
32768,16,3,blocks30,0.26806640625,0.004040800005896,0.0041899999923771,0.0069258000003173,0.7978758000099333,COMPLETE,COMPLETE,0.0,1280,680,6.19000056758523e-05,0.0047934000031091,0.004102700011571852,0.0089833999954862
32768,16,3,natural_power,0.003997802734375,0.003688199998578,0.0033286999969277,0.0070313000032911,0.7503242999955546,COMPLETE,COMPLETE,0.0,1280,680,6.19000056758523e-05,0.0047934000031091,0.003750100004253852,0.0081221000000368
2048,16,5,iid30,0.302734375,0.0002890000032493,0.0002496000088285,0.0005143000016687,0.047449299992877,COMPLETE,COMPLETE,0.0,1632,867,7.080000068526715e-05,0.0050149000016972,0.00035980000393456715,0.0052645000105257
2048,16,5,blocks30,0.2646484375,0.0002327999973203,0.0002438999945297,0.0004729999927803,0.0479053000017302,COMPLETE,COMPLETE,0.0,1632,867,7.080000068526715e-05,0.0050149000016972,0.0003035999980055672,0.005258799996226899
2048,16,5,natural_power,0.0,0.000195699991309,0.0001807000080589,0.0004405000072438,0.0453522000025259,COMPLETE,COMPLETE,0.0,1632,867,7.080000068526715e-05,0.0050149000016972,0.0002664999919942671,0.0051956000097560994
32768,16,5,iid30,0.299224853515625,0.0040281999972648,0.0041312999965157,0.0078110999893397,0.7878611000051023,COMPLETE,COMPLETE,0.0,1632,867,7.080000068526715e-05,0.0050149000016972,0.004098999997950067,0.0091461999982129
32768,16,5,blocks30,0.266998291015625,0.0040480999887222,0.0040120000048773,0.0079038999974727,0.8002192999992985,COMPLETE,COMPLETE,0.0,1632,867,7.080000068526715e-05,0.0050149000016972,0.004118899989407467,0.009026900006574499
32768,16,5,natural_power,0.003997802734375,0.0031434999982593,0.0031990999996196,0.0074175000045215,0.8797436000022572,COMPLETE,COMPLETE,0.0,1632,867,7.080000068526715e-05,0.0050149000016972,0.003214299998944567,0.0082140000013168
2048,16,8,iid30,0.28857421875,0.0002332000003661,0.0002175999979954,0.0005536999960895,0.0535443999979179,COMPLETE,COMPLETE,0.0,1440,765,6.550000398419797e-05,0.0033608999947318,0.00029870000435029795,0.0035784999927272
2048,16,8,blocks30,0.26806640625,0.0002519000117899,0.0002361999941058,0.0005142000009072,0.0563579000008758,COMPLETE,COMPLETE,0.0,1440,765,6.550000398419797e-05,0.0033608999947318,0.000317400015774098,0.0035970999888376
2048,16,8,natural_power,0.0,0.0001894000015454,0.0001827999949455,0.0004307000053813,0.0485174999921582,COMPLETE,COMPLETE,0.0,1440,765,6.550000398419797e-05,0.0033608999947318,0.000254900005529598,0.0035436999896773
