dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
household,household,artificial,blocks_10,60,5,194220,constant,hist_gradient_boosting,4037,369,1269,-0.10580945933407412,0.05464248858054632,-0.10306979657146736,0.053260392449804024,271,0.0019469000108074397,0.0027278202931960193,True,0.16045194791462045,0.15633018902127138,0.0041217588933490645,0.025688431626534888,UNRESOLVED,UNRESOLVED,False
household,household,artificial,blocks_10,60,5,194220,logistic,hist_gradient_boosting,4037,369,1269,-0.01105435065668029,0.08424389998319223,-0.011054350656680303,0.08424389998319201,271,0.001760300001478754,-0.010763806483329764,True,0.09529825063987252,0.09529825063987231,2.0816681711721685e-16,2.1843718611779055e-15,UNRESOLVED,UNRESOLVED,False
household,household,full_station,natural,180,5,172800,constant,logistic,86221,3763,4045,0.020168532824124816,0.059101665357170145,0.020177225592109632,0.058939456811352056,871,0.06844659999478608,,,0.038933132533045325,0.038762231219242424,0.0001709013138029014,0.004389611179060541,B,B,False
household,household,full_station,natural,180,5,172800,constant,hist_gradient_boosting,86221,3763,4045,0.015919126497082468,0.047134344631673514,0.015919126497083082,0.047046049920386204,871,0.06599509999796283,,,0.031215218134591046,0.031126923423303123,8.829471128792357e-05,0.002828579025372245,B,B,False
household,household,full_station,natural,180,5,172800,logistic,hist_gradient_boosting,86221,3763,4045,-0.01634558753561757,0.00012886048307862588,-0.01633760059735127,0.00012087354481254774,871,0.06527930000447668,,,0.016474448018696197,0.016458474142163816,1.5973876532380388e-05,0.0009696152802359308,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,172800,constant,logistic,9901,0,0,0.04785069138498884,0.04785069138498884,0.04785069138498886,0.04785069138498886,871,0.00733389999368228,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,172800,constant,hist_gradient_boosting,9901,0,0,0.04316762101796736,0.04316762101796736,0.04316762101796729,0.04316762101796729,871,0.007287000000360422,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,172800,logistic,hist_gradient_boosting,9901,0,0,-0.0046830703670214776,-0.0046830703670214776,-0.0046830703670214776,-0.0046830703670214776,871,0.006543799987412058,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,180,5,182880,constant,logistic,9901,2463,2406,-0.09468537599609317,0.10946560460233334,-0.09468537599608648,0.10812874126728236,871,0.012686999994912185,,,0.2041509805984265,0.20281411726336884,0.0013368633350576697,0.006548405161410102,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,182880,constant,hist_gradient_boosting,9901,2463,2406,-0.06201156583170458,0.07779438755640426,-0.06201156583170483,0.07702548963679498,871,0.012607199998456053,,,0.13980595338810883,0.13903705546849982,0.0007688979196090184,0.005499750911712011,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,182880,logistic,hist_gradient_boosting,9901,2463,2406,-0.06129229485064596,0.062294887969105546,-0.061222742097969345,0.06222533521642475,871,0.012689499999396503,,,0.1235871828197515,0.1234480773143941,0.00013910550535740918,0.001125565792370967,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,192960,constant,logistic,9901,1260,1256,-0.05373839587444234,0.055895496257525025,-0.053738395874437406,0.05589549625752469,871,0.009589399996912107,,,0.10963389213196736,0.10963389213196209,5.2735593669694936e-15,4.8101542911763634e-14,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,192960,constant,hist_gradient_boosting,9901,1260,1256,-0.0657536657105852,0.0422462163770698,-0.06575366571058675,0.042246216377070024,871,0.00960089999716729,,,0.10799988208765501,0.10799988208765676,-1.7486012637846216e-15,-1.619077011922494e-14,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,192960,logistic,hist_gradient_boosting,9901,1260,1256,-0.013649279880455207,-0.012015269836142836,-0.01364927988045522,-0.012015269836142824,871,0.009577400007401593,,,0.0016340100443123715,0.0016340100443123957,-2.42861286636753e-17,-1.4862900474945034e-14,A,A,False
household,household,fixed_panel,natural,180,5,203040,constant,logistic,9901,0,0,0.042098311512579645,0.042098311512579645,0.04209831151257965,0.04209831151257965,871,0.006666300003416836,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,203040,constant,hist_gradient_boosting,9901,0,0,0.04686133647535703,0.04686133647535703,0.046861336475355626,0.046861336475355626,871,0.006567700009327382,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,203040,logistic,hist_gradient_boosting,9901,0,0,0.00476302496277739,0.00476302496277739,0.00476302496277739,0.00476302496277739,871,0.006587500000023283,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,213120,constant,logistic,9901,0,0,0.031985166151825714,0.031985166151825714,0.03198516615182575,0.03198516615182575,871,0.0066470000019762665,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,213120,constant,hist_gradient_boosting,9901,0,0,0.01433512577379335,0.01433512577379335,0.014335125773793672,0.014335125773793672,871,0.006580000001122244,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,213120,logistic,hist_gradient_boosting,9901,0,0,-0.017650040378032375,-0.017650040378032375,-0.017650040378032455,-0.017650040378032455,871,0.006355799996526912,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,180,5,223200,constant,logistic,9901,0,0,0.04669871226960032,0.04669871226960032,0.046698712269600366,0.046698712269600366,871,0.00683460000436753,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,223200,constant,hist_gradient_boosting,9901,0,0,0.08727125680647656,0.08727125680647656,0.08727125680647678,0.08727125680647678,871,0.006522099996800534,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,223200,logistic,hist_gradient_boosting,9901,0,0,0.040572544536876205,0.040572544536876205,0.040572544536876316,0.040572544536876316,871,0.006759700001566671,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,233280,constant,logistic,9901,1,0,0.06644740018929875,0.06644740018929875,0.0664474001892987,0.0664474001892987,871,0.006638000006205402,,,0.0,0.0,0.0,0.0,B,B,False
