independent_undominated,independent_best,pairwise_undominated,pairwise_best,joint_undominated,joint_best,phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,N,pairwise_set_changed,joint_set_changed,higher_order_set_changed
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,21720,2015-08-23 00:00:00,2015Q3,beijing_2015-08-23T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,21888,2015-08-30 00:00:00,2015Q3,beijing_2015-08-30T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,22056,2015-09-06 00:00:00,2015Q3,beijing_2015-09-06T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,22224,2015-09-13 00:00:00,2015Q3,beijing_2015-09-13T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,22392,2015-09-20 00:00:00,2015Q3,beijing_2015-09-20T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,22560,2015-09-27 00:00:00,2015Q3,beijing_2015-09-27T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,22728,2015-10-04 00:00:00,2015Q4,beijing_2015-10-04T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,22896,2015-10-11 00:00:00,2015Q4,beijing_2015-10-11T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,23064,2015-10-18 00:00:00,2015Q4,beijing_2015-10-18T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,23232,2015-10-25 00:00:00,2015Q4,beijing_2015-10-25T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,23400,2015-11-01 00:00:00,2015Q4,beijing_2015-11-01T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,23568,2015-11-08 00:00:00,2015Q4,beijing_2015-11-08T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,23736,2015-11-15 00:00:00,2015Q4,beijing_2015-11-15T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,23904,2015-11-22 00:00:00,2015Q4,beijing_2015-11-22T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,24072,2015-11-29 00:00:00,2015Q4,beijing_2015-11-29T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,24240,2015-12-06 00:00:00,2015Q4,beijing_2015-12-06T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,24408,2015-12-13 00:00:00,2015Q4,beijing_2015-12-13T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,24576,2015-12-20 00:00:00,2015Q4,beijing_2015-12-20T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,24744,2015-12-27 00:00:00,2015Q4,beijing_2015-12-27T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,24912,2016-01-03 00:00:00,2016Q1,beijing_2016-01-03T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,25080,2016-01-10 00:00:00,2016Q1,beijing_2016-01-10T00:00:00,72,3,168,False,False,False
