fit_id,family,gamma,horizon,target_scope,postprocess,scored_values,rmse,mae
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,6,path_1_to_H,clip_0_1,23100,0.07025193048113179,0.04111788642292541
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,9,terminal_H,raw,3850,0.08485421645334192,0.05699340804845472
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,9,path_1_to_H,raw,34650,0.07460966758905374,0.04507533194479988
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,9,terminal_H,clip_0_1,3850,0.08485294301905075,0.05698457795393606
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,9,path_1_to_H,clip_0_1,34650,0.07460085977396258,0.04505736894653966
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,12,terminal_H,raw,3850,0.09318856853586517,0.060796290122068435
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,12,path_1_to_H,raw,46200,0.07899816764355001,0.04882440993890707
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,12,terminal_H,clip_0_1,3850,0.09318156414417318,0.06077768892328218
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,12,path_1_to_H,clip_0_1,46200,0.07899022911083638,0.04880810591156727
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,3,terminal_H,raw,3850,0.07380076107254177,0.041755440048635455
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,3,path_1_to_H,raw,11550,0.06780454299282455,0.036670683881354506
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,3,terminal_H,clip_0_1,3850,0.0737936205515724,0.04173740443989971
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,3,path_1_to_H,clip_0_1,11550,0.06778571570727224,0.036637896450249126
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,6,terminal_H,raw,3850,0.07794150932021227,0.04761285995531522
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,6,path_1_to_H,raw,23100,0.0721751657634036,0.04122134750626583
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,6,terminal_H,clip_0_1,3850,0.07793660629473761,0.04760348747680044
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,6,path_1_to_H,clip_0_1,23100,0.07216446296198663,0.04119918544137528
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,9,terminal_H,raw,3850,0.0864557069787098,0.05750886485571173
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,9,path_1_to_H,raw,34650,0.07650595773965616,0.045307542208214896
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,9,terminal_H,clip_0_1,3850,0.08644157586374956,0.05748805565645256
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,9,path_1_to_H,clip_0_1,34650,0.07649543060761761,0.045287717836978165
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,12,terminal_H,raw,3850,0.09459380954212553,0.061566020041083726
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,12,path_1_to_H,raw,46200,0.08078612098008338,0.049202861323012326
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,12,terminal_H,clip_0_1,3850,0.09456982600525889,0.061522289529730295
GLOBAL_RIDGE_g0.1,GLOBAL_RIDGE,0.1,12,path_1_to_H,clip_0_1,46200,0.08077206502756228,0.04917931404922175
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,3,terminal_H,raw,3850,0.0788974882572826,0.042334853908226104
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,3,path_1_to_H,raw,11550,0.07399123704359858,0.037251303902714174
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,3,terminal_H,clip_0_1,3850,0.07886792476762358,0.042284456972518265
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,3,path_1_to_H,clip_0_1,11550,0.07396813517569963,0.037199360929189136
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,6,terminal_H,raw,3850,0.0820829220917281,0.047979274522133776
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,6,path_1_to_H,raw,23100,0.07750180445572327,0.04175061032275529
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,6,terminal_H,clip_0_1,3850,0.08200730013211714,0.047943675849503486
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,6,path_1_to_H,clip_0_1,23100,0.07746502647177438,0.041705554238722645
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,9,terminal_H,raw,3850,0.09400583729177173,0.06171848032619125
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,9,path_1_to_H,raw,34650,0.08246931445622245,0.046724614281542405
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,9,terminal_H,clip_0_1,3850,0.09360268201457593,0.06154028548823232
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,9,path_1_to_H,clip_0_1,34650,0.0823516722001835,0.04666145854358145
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,12,terminal_H,raw,3850,0.10230958239416699,0.06700265256186541
GLOBAL_RIDGE_g1,GLOBAL_RIDGE,1.0,12,path_1_to_H,raw,46200,0.08721468009955563,0.05152942599662114
