cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11378752836925149,0.06878044313802874
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11378288207917399,0.06875719169710438
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11623209951517621,0.06523740135202155
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11622544492208062,0.06521170443759516
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.11036895683070283,0.07204372807228282
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.1103674129869568,0.07203131406747347
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.11458044839328335,0.06688568452197183
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11457502733873857,0.06686311387395168
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.11638545437333647,0.07644146870651795
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11638440078326127,0.07643348749466454
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11470515364500314,0.06890089793322209
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11470077157344451,0.06888174117908531
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10895931710028058,0.06249954970884857
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.1089552308089559,0.06246970556446801
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10844065382817925,0.057977029959177036
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843161791222802,0.05793515016263996
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11235398981187836,0.06650332715220382
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11235381789430618,0.0664991360838436
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11581891207719379,0.06405713600580602
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1158144906482302,0.06403319190774003
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.10877656098271074,0.06983365273531032
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10877588306596152,0.06982513186617391
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.11390956058924094,0.0653234059990016
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11390643266274145,0.06530559063960956
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.1143647031743848,0.0745044348469953
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11435426162894809,0.0744778054368915
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11376244319061736,0.06725579665841372
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11375701592113742,0.06723627051804755
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10899805866508046,0.06309538636449488
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10898739411609333,0.06305273476878445
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10858750542471159,0.058637527309559394
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10857676452050595,0.058590762349324886
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.1130011821463474,0.06755811103268243
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11298634867156243,0.06750843364292507
