epoch,cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.07079598609120226,0.04208657318485612
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08511156827185325,0.057159873214476895
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.0851110927729553,0.057150295858792964
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07504189073485018,0.045899043648251044
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07503231948804268,0.04587105214101217
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09291562567360294,0.060717470829534576
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09291319588731281,0.060706670981298894
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07923201125364165,0.049443673587260276
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07922401614859353,0.0494210002830057
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.0722043686541043,0.04219925611515811
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07219946564925726,0.04217247350655536
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.0654771200142867,0.037091018130588606
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06545490141064429,0.037041585147262655
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07704418260653584,0.04818506252065747
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07702669806693514,0.04814287549262166
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.07017526403568232,0.04161353629605736
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.0701592664798678,0.041572710025036055
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08548361591672352,0.0577412530273135
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08548233296531182,0.057731221388341025
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07474147243712409,0.045662027324996794
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07472638490516278,0.04562390211859722
