dataset,series,K,L,scope,origin_start,N,phase,ambiguous_labels,geometry_status,unary_constraints,irreducible_two_covers,generated_constraints,seconds
beijing,Changping,24,3,origin_week,15312,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003063000003749039
beijing,Changping,24,3,origin_week,15480,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0002812999991874676
beijing,Changping,24,3,origin_week,15648,168,AP1,7,PAIRWISE_EXACT,22,0,22,0.017370899999150424
beijing,Changping,24,3,origin_week,15816,168,AP1,3,PAIRWISE_EXACT,3,0,3,0.02553980000084266
beijing,Changping,24,3,origin_week,15984,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006267000007937895
beijing,Changping,24,3,origin_week,16152,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005743999990954762
beijing,Changping,24,3,origin_week,16320,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00047700000141048804
beijing,Changping,24,3,origin_week,16488,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00042130000110773835
beijing,Changping,24,3,origin_week,16656,168,AP1,7,PAIRWISE_EXACT,21,0,21,0.02526190000025963
beijing,Changping,24,3,origin_week,16824,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005483999993884936
beijing,Changping,24,3,origin_week,16992,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005032999997638399
beijing,Changping,24,3,origin_week,17160,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006431999991036719
beijing,Changping,24,3,origin_week,17328,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000668799999402836
beijing,Changping,24,3,origin_week,17496,1,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006005999985063681
beijing,Changping,72,3,annual,8760,8689,AP1,129,PAIRWISE_INSUFFICIENT,2600,57956,2600,0.2659459999995306
beijing,Changping,72,3,origin_week,8760,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007329999989451608
beijing,Changping,72,3,origin_week,8928,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005273999995552003
beijing,Changping,72,3,origin_week,9096,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003183999997418141
beijing,Changping,72,3,origin_week,9264,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000432699998782482
beijing,Changping,72,3,origin_week,9432,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003186000012647128
beijing,Changping,72,3,origin_week,9600,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005398000012064585
beijing,Changping,72,3,origin_week,9768,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005139000004419358
beijing,Changping,72,3,origin_week,9936,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004690000005211914
beijing,Changping,72,3,origin_week,10104,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00032019999889598694
beijing,Changping,72,3,origin_week,10272,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00030949999927543104
beijing,Changping,72,3,origin_week,10440,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0002967999989778036
beijing,Changping,72,3,origin_week,10608,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004915999998047482
beijing,Changping,72,3,origin_week,10776,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005547999990085373
beijing,Changping,72,3,origin_week,10944,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005421000005298993
beijing,Changping,72,3,origin_week,11112,168,AP1,11,PAIRWISE_EXACT,83,0,83,0.02555419999953301
beijing,Changping,72,3,origin_week,11280,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007297000011021737
beijing,Changping,72,3,origin_week,11448,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005643999993480975
beijing,Changping,72,3,origin_week,11616,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005397000004450092
beijing,Changping,72,3,origin_week,11784,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005138000014994759
beijing,Changping,72,3,origin_week,11952,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004962000002706191
beijing,Changping,72,3,origin_week,12120,168,AP1,78,PAIRWISE_INSUFFICIENT,2415,19320,2415,0.21322650000001886
beijing,Changping,72,3,origin_week,12288,168,AP1,16,PAIRWISE_INSUFFICIENT,6,556,6,0.02336509999986447
beijing,Changping,72,3,origin_week,12456,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004977999997208826
beijing,Changping,72,3,origin_week,12624,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004939999998896383
beijing,Changping,72,3,origin_week,12792,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005621000000246568
beijing,Changping,72,3,origin_week,12960,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004036999998788815
beijing,Changping,72,3,origin_week,13128,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003192000003764406
beijing,Changping,72,3,origin_week,13296,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00045710000085819047
beijing,Changping,72,3,origin_week,13464,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000581899999815505
beijing,Changping,72,3,origin_week,13632,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005677999997715233
beijing,Changping,72,3,origin_week,13800,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005117000000609551
beijing,Changping,72,3,origin_week,13968,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005571000001509674
beijing,Changping,72,3,origin_week,14136,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005638000002363697
beijing,Changping,72,3,origin_week,14304,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005169000014575431
beijing,Changping,72,3,origin_week,14472,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003768999995372724
beijing,Changping,72,3,origin_week,14640,168,AP1,8,PAIRWISE_EXACT,56,0,56,0.022519199999806006
beijing,Changping,72,3,origin_week,14808,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004702000005636364
beijing,Changping,72,3,origin_week,14976,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003787000005104346
beijing,Changping,72,3,origin_week,15144,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005062999989604577
beijing,Changping,72,3,origin_week,15312,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005049000010330928
beijing,Changping,72,3,origin_week,15480,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004951999999320833
beijing,Changping,72,3,origin_week,15648,168,AP1,7,PAIRWISE_EXACT,22,0,22,0.019589000001360546
beijing,Changping,72,3,origin_week,15816,168,AP1,3,PAIRWISE_EXACT,3,0,3,0.017833399999290123
beijing,Changping,72,3,origin_week,15984,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00035930000012740493
beijing,Changping,72,3,origin_week,16152,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006006000003253575
beijing,Changping,72,3,origin_week,16320,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005442999990918906
beijing,Changping,72,3,origin_week,16488,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005079000002297107
beijing,Changping,72,3,origin_week,16656,168,AP1,6,PAIRWISE_EXACT,15,0,15,0.017917600000146194
beijing,Changping,72,3,origin_week,16824,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000769899999795598
beijing,Changping,72,3,origin_week,16992,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005873999998584623
beijing,Changping,72,3,origin_week,17160,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00044330000127956737
beijing,Changping,72,3,origin_week,17328,121,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003167000013490906
beijing,Dingling,24,3,annual,8760,8737,AP1,212,PAIRWISE_INSUFFICIENT,3095,1090,3141,0.25388120000025083
beijing,Dingling,24,3,origin_week,8760,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007230999999592314
beijing,Dingling,24,3,origin_week,8928,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00043590000132098794
beijing,Dingling,24,3,origin_week,9096,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003634000004240079
beijing,Dingling,24,3,origin_week,9264,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007514000008086441
beijing,Dingling,24,3,origin_week,9432,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005963000003248453
beijing,Dingling,24,3,origin_week,9600,168,AP1,1,PAIRWISE_EXACT,0,0,0,0.019654899999295594
beijing,Dingling,24,3,origin_week,9768,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006023999994795304
beijing,Dingling,24,3,origin_week,9936,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00034410000080242753
beijing,Dingling,24,3,origin_week,10104,168,AP1,18,PAIRWISE_INSUFFICIENT,91,361,137,0.04442180000114604
beijing,Dingling,24,3,origin_week,10272,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006751000000804197
beijing,Dingling,24,3,origin_week,10440,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007506999991164776
beijing,Dingling,24,3,origin_week,10608,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005433999995148042
beijing,Dingling,24,3,origin_week,10776,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004310000003897585
