dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,independent_lower,implication_lower,DP_lower,cover_LP_lower,cover_LP_lower_rounds,cover_LP_lower_max_violation,cover_LP_lower_primal_dual_gap_per_N,cover_LP_lower_fractionality,cover_ILP_lower,cover_ILP_lower_rounds,cover_ILP_lower_max_violation,cover_ILP_lower_primal_dual_gap_per_N,cover_ILP_lower_fractionality,independent_upper,implication_upper,DP_upper,cover_LP_upper,cover_LP_upper_rounds,cover_LP_upper_max_violation,cover_LP_upper_primal_dual_gap_per_N,cover_LP_upper_fractionality,cover_ILP_upper,cover_ILP_upper_rounds,cover_ILP_upper_max_violation,cover_ILP_upper_primal_dual_gap_per_N,cover_ILP_upper_fractionality,independent_direction,implication_direction,cover_LP_direction,cover_ILP_direction,DP_direction,cover_LP_width_gap,cover_LP_endpoint_gap,implication_width_gap,cover_ILP_DP_max_error
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.07546422065434946,0.0754642206543294,0.07546422065434946,0.07546422065434946,,,,,0.07546422065434946,,,,,0.07546422065434946,0.0754642206543694,0.07546422065434946,0.07546422065434946,,,,,0.07546422065434946,,,,,B,B,B,B,B,0.0,0.0,4.000966224992908e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.09162509696510253,0.0916250969650825,0.09162509696510253,0.09162509696510253,,,,,0.09162509696510253,,,,,0.09162509696510253,0.0916250969651225,0.09162509696510253,0.09162509696510253,,,,,0.09162509696510253,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.016160876310753056,0.016160876310733,0.016160876310753056,0.016160876310753056,,,,,0.016160876310753056,,,,,0.016160876310753056,0.016160876310773,0.016160876310753056,0.016160876310753056,,,,,0.016160876310753056,,,,,B,B,B,B,B,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.08286515727765639,0.0828651572776364,0.08286515727765639,0.08286515727765639,,,,,0.08286515727765639,,,,,0.08286515727765639,0.0828651572776763,0.08286515727765639,0.08286515727765639,,,,,0.08286515727765639,,,,,B,B,B,B,B,0.0,0.0,3.9898639947466563e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.0983883538305445,0.0983883538305245,0.0983883538305445,0.0983883538305445,,,,,0.0983883538305445,,,,,0.0983883538305445,0.0983883538305645,0.0983883538305445,0.0983883538305445,,,,,0.0983883538305445,,,,,B,B,B,B,B,0.0,0.0,4.000966224992908e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.015523196552888115,0.0155231965528681,0.015523196552888115,0.015523196552888115,,,,,0.015523196552888115,,,,,0.015523196552888115,0.0155231965529081,0.015523196552888115,0.015523196552888115,,,,,0.015523196552888115,,,,,B,B,B,B,B,0.0,0.0,4.0000988632549195e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,constant,logistic,0,PAIRWISE_EXACT,-0.015308285098492596,-0.0153082850985125,-0.015308285098492596,-0.015308285098492596,,,,,-0.015308285098492596,,,,,-0.015308285098492596,-0.0153082850984725,-0.015308285098492596,-0.015308285098492596,,,,,-0.015308285098492596,,,,,A,A,A,A,A,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.011573582325723312,-0.0115735823257433,-0.011573582325723312,-0.011573582325723312,,,,,-0.011573582325723312,,,,,-0.011573582325723312,-0.0115735823257033,-0.011573582325723312,-0.011573582325723312,,,,,-0.011573582325723312,,,,,A,A,A,A,A,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.0037347027727692743,0.0037347027727492,0.0037347027727692743,0.0037347027727692743,,,,,0.0037347027727692743,,,,,0.0037347027727692743,0.0037347027727892,0.0037347027727692743,0.0037347027727692743,,,,,0.0037347027727692743,,,,,B,B,B,B,B,0.0,0.0,4.0000121270811206e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.12899021838852148,0.1289902183885014,0.12899021838852148,0.12899021838852148,,,,,0.12899021838852148,,,,,0.12899021838852148,0.1289902183885415,0.12899021838852148,0.12899021838852148,,,,,0.12899021838852148,,,,,B,B,B,B,B,0.0,0.0,4.010680676458378e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.09432649890502114,0.0943264989050011,0.09432649890502114,0.09432649890502114,,,,,0.09432649890502114,,,,,0.09432649890502114,0.094326498905041,0.09432649890502114,0.09432649890502114,,,,,0.09432649890502114,,,,,B,B,B,B,B,0.0,0.0,3.9898639947466563e-14,0.0
